parasite_index,connected_localities
1,Sea of Marmara;Northeast Atlantic;United States;Western Mediterranean;Western Europe;Black Sea
3301,Western coast of British Isles;Northeast Atlantic;Pacific Ocean;Sea of Okhotsk;United States
10918,Atlantic Ocean;Northeast Atlantic
3,"West Coast of Norway;Sea of Marmara;NW African coast;Atlantic Ocean;Western Europe;Northeast Atlantic;Ukraine, incl. Moldavia;Norwegian Sea;Western Mediterranean;United States;Black Sea"
20686,Western Mediterranean
503,"Middle East + Asia Minor;Yukon + Northwest Territories;Ontario;Yugoslavia;Georgia (USSR);Russia (European);Northeast Atlantic;Czechoslovakia;Italy;Ukraine, incl. Moldavia;Western Mediterranean;Lithuania;United States;Western Europe"
72,Western coast of British Isles;Utah;South Korea;Southwest Indian Ocean;Norwegian Sea;Mexico;Sea of Japan;Pacific Ocean;Arctic Ocean;Western Mediterranean;United States;Western Europe;West Coast of Norway;New Brunswick + Nova Scotia;Atlantic Ocean;North Sea;Sea of Okhotsk;Lithuania;Finland;Yukon + Northwest Territories;Yugoslavia;Southeast Atlantic;Northeast Atlantic;Italy;Southwest Atlantic;Russia (Asian)
454,"Middle East + Asia Minor;Russia (European);Virginia;Czechoslovakia;Norwegian Sea;Georgia (USSR);Tadzhikistan;Pacific Ocean;Ukraine, incl. Moldavia;Western Mediterranean;United States;Western Europe;West Coast of Norway;Caspian Sea;Yakut ASSR;North Sea;Atlantic Ocean;Austria;Lithuania;Armenia;Yukon + Northwest Territories;Taiwan;Ontario;Yugoslavia;Spain + Andalusia;Northeast Atlantic;Italy;Russia (Asian)"
2789,West Coast of Norway;Western coast of British Isles;Ontario;Southeast Atlantic;Atlantic Ocean;North Sea;Northeast Atlantic;Norway;Black Sea;Pacific Ocean;Sea of Okhotsk;South Korea;Gulf of Mexico;Southwest Indian Ocean;Norwegian Sea;Western Mediterranean;United States;Western Europe
4128,Finno-Karelian ASSR;Yugoslavia;Russia (European);Yakut ASSR;Northeast Atlantic;Russia (Asian);Norwegian Sea;Western Mediterranean;Kazakstan;United States;Lake Baikal;Western Europe
2926,"Yukon + Northwest Territories;Mexico;Wisconsin;Yugoslavia;Ontario;Northeast Atlantic;Pacific Ocean;Ukraine, incl. Moldavia;Poland;Russia (Asian);Washington;Western Mediterranean;United States;Lake Baikal;Western Europe"
3067,Western coast of British Isles;Russia (European);South Korea;Persian Gulf;Southwest Indian Ocean;Norwegian Sea;Northern Indian Ocean;Sea of Marmara;Western coast of India;NW African coast;Sea of Japan;Pacific Ocean;Western Mediterranean;Oriental;Tyrrhenian Sea;United States;Western Europe;West Coast of Norway;New Brunswick + Nova Scotia;Yakut ASSR;Atlantic Ocean;North Sea;Sea of Okhotsk;Black Sea;Yukon + Northwest Territories;Yugoslavia;Southeast Atlantic;Northeast Atlantic;South China Sea;Antarctic Ocean;Southwest Atlantic;Russia (Asian)
9538,Western coast of British Isles;Eastern Mediterranean;Southeast Atlantic;Atlantic Ocean;North Sea;Northeast Atlantic;Southwest Atlantic;Norwegian Sea;Western Mediterranean;Black Sea
9506,Middle East + Asia Minor;Taiwan;Ontario;Yugoslavia;Russia (European);Virginia;Spain + Andalusia;Northeast Atlantic;United States;South Korea;Pacific Ocean;Zaire;Czechoslovakia;Japan;Russia (Asian);Western Mediterranean;Western Europe;Black Sea
9509,Western coast of British Isles;Utah;South Korea;Persian Gulf;Southwest Indian Ocean;Norwegian Sea;Northern Indian Ocean;Washington;Sea of Marmara;Indian Ocean;NW African coast;Sea of Japan;Pacific Ocean;Arctic Ocean;Western Mediterranean;Tyrrhenian Sea;United States;Western Europe;Zimbabwe;West Coast of Norway;Iceland;New Brunswick + Nova Scotia;Oceanic Islands;Atlantic Ocean;North Sea;Sea of Okhotsk;Southern Indian Ocean;Lithuania;Yukon + Northwest Territories;Ontario;Yugoslavia;Southeast Atlantic;South China Sea;Northeast Atlantic;Antarctic Ocean;Southwest Atlantic;Gulf of Mexico;Philippines;Russia (Asian)
10146,West Coast of Norway;Western coast of British Isles;Atlantic Ocean;North Sea;Northeast Atlantic;Pacific Ocean;Sea of Okhotsk;Gulf of Mexico;Norwegian Sea;Western Mediterranean;Western Europe
10672,"Caspian Sea;Azov Sea;North Sea;Western Europe;Northeast Atlantic;Atlantic Ocean;Ukraine, incl. Moldavia;Western Mediterranean;United States;Black Sea"
9528,Western coast of British Isles;Utah;South Korea;Japan;Southwest Indian Ocean;Norwegian Sea;Azov Sea;NW African coast;Sea of Japan;Pacific Ocean;Western Mediterranean;United States;Western Europe;Zimbabwe;West Coast of Norway;Caspian Sea;Atlantic Ocean;North Sea;Sea of Okhotsk;Black Sea;Yukon + Northwest Territories;Ontario;Yugoslavia;Southeast Atlantic;Norway;Northeast Atlantic;South China Sea;Turkey;Antarctic Ocean;Southwest Atlantic;Gulf of Mexico;Russia (Asian)
10791,West Coast of Norway;Western coast of British Isles;Atlantic Ocean;North Sea;Northeast Atlantic;South China Sea;Norwegian Sea;Western Mediterranean;United States;Western Europe
9559,"Middle East + Asia Minor;Russia (European);Virginia;South Korea;Czechoslovakia;Poland;Norwegian Sea;Far East;Finno-Karelian ASSR;Georgia (USSR);Ukraine, incl. Moldavia;Western Mediterranean;United States;Western Europe;West Coast of Norway;Wisconsin;Yakut ASSR;North Sea;Canada;Lithuania;Yukon + Northwest Territories;Ontario;Yugoslavia;Spain + Andalusia;Northeast Atlantic;Italy;Lake Huron;Russia (Asian)"
20397,Ontario;Western Mediterranean;Northeast Atlantic;Western Europe
20449,Western Mediterranean;Northeast Atlantic;Western Europe
20485,Western coast of British Isles;North Sea;Northeast Atlantic;Norwegian Sea;Western Mediterranean;United States;Western Europe
20601,"Western coast of British Isles;Ontario;Yugoslavia;Spain + Andalusia;Western Europe;Northeast Atlantic;Ukraine, incl. Moldavia;Western Mediterranean;United States;Black Sea"
20032,"Azov Sea;Yugoslavia;Ontario;North Sea;Black Sea;Northeast Atlantic;South Korea;Czechoslovakia;Ukraine, incl. Moldavia;Norwegian Sea;Western Mediterranean;United States;Far East;Western Europe"
19484,"Western coast of British Isles;Norwegian Sea;Washington;Sea of Japan;Pacific Ocean;Ukraine, incl. Moldavia;Western Mediterranean;United States;Western Europe;Zimbabwe;West Coast of Norway;Iceland;Atlantic Ocean;Yakut ASSR;North Sea;Sea of Okhotsk;Black Sea;Yukon + Northwest Territories;Yugoslavia;Ontario;Northeast Atlantic"
19388,Western coast of British Isles;Utah;South Korea;Persian Gulf;Southwest Indian Ocean;Norwegian Sea;NW African coast;Sea of Japan;Pacific Ocean;Western Mediterranean;United States;Western Europe;West Coast of Norway;New Brunswick + Nova Scotia;Atlantic Ocean;North Sea;Sea of Okhotsk;Yukon + Northwest Territories;Ontario;Yugoslavia;Southeast Atlantic;Norway;South China Sea;Northeast Atlantic;Antarctic Ocean;Southwest Atlantic;Gulf of Mexico;Russia (Asian)
19398,Western coast of British Isles;Sea of Marmara;Southeast Atlantic;Atlantic Ocean;Western Europe;Northeast Atlantic;NW African coast;Red Sea;Pacific Ocean;Southwest Indian Ocean;Southern Indian Ocean;Western Mediterranean;Tyrrhenian Sea;United States;Black Sea
20929,Western Mediterranean
20936,Western coast of British Isles;Sea of Marmara;Atlantic Ocean;South China Sea;Pacific Ocean;Western Mediterranean;Western Europe
19407,West Coast of Norway;Western coast of British Isles;Eastern Mediterranean;Southeast Atlantic;Atlantic Ocean;Norway;Northeast Atlantic;Pacific Ocean;Gulf of Mexico;Southwest Indian Ocean;Norwegian Sea;Western Mediterranean;Oriental
21160,Western Mediterranean;Sea of Okhotsk;West Coast of Norway
21211,Western Mediterranean;Western coast of British Isles;Western Europe
21228,Ontario;Western Mediterranean;North Sea;Western Europe
19422,Western coast of British Isles;Norwegian Sea;Sea of Japan;Pacific Ocean;Arctic Ocean;Western Mediterranean;Oriental;United States;Western Europe;West Coast of Norway;Iceland;New Brunswick + Nova Scotia;Labrador + Newfoundland;Atlantic Ocean;North Sea;Sea of Okhotsk;Ontario;Yugoslavia;Northeast Atlantic;South China Sea;Russia (Asian)
19423,Western coast of British Isles;Persian Gulf;Southwest Indian Ocean;Norwegian Sea;Mexico;Sea of Marmara;New South Wales;Sea of Japan;Pacific Ocean;Western Mediterranean;Western Europe;Atlantic Ocean;North Sea;Black Sea;Southeast Atlantic;Spain + Andalusia;Pakistan;Northeast Atlantic;South China Sea
19431,Sea of Marmara;Southeast Atlantic;Northeast Atlantic;South Korea;South China Sea;Pacific Ocean;Southwest Indian Ocean;Western Mediterranean;Northern Indian Ocean;United States;Black Sea
3606,Pacific Ocean;Southeast Atlantic;Atlantic Ocean;Northeast Atlantic
3634,Northeast Atlantic;Southwest Indian Ocean
2796,Pacific Ocean;Atlantic Ocean;Northeast Atlantic;Southwest Indian Ocean
3831,Northeast Atlantic
4008,Northeast Atlantic
4232,Atlantic Ocean;Northeast Atlantic
9561,Atlantic Ocean;Northeast Atlantic
10508,Pacific Ocean;Northeast Atlantic
10555,Northeast Atlantic
21695,Pacific Ocean;Sea of Okhotsk;Northeast Atlantic
9,Western Mediterranean;Northeast Atlantic
11,Middle East + Asia Minor;Western Mediterranean;South China Sea;South Korea
58,"Western coast of British Isles;Russia (European);Utah;South Korea;Japan;Southwest Indian Ocean;Norwegian Sea;Washington;Georgia (USSR);Sea of Japan;Pacific Ocean;Arctic Ocean;Western Mediterranean;Ukraine, incl. Moldavia;United States;Western Europe;Zimbabwe;West Coast of Norway;Caspian Sea;Wisconsin;Canada;Sea of Okhotsk;Lithuania;Black Sea;Yukon + Northwest Territories;Yugoslavia;Southeast Atlantic;Northeast Atlantic;Bulgaria;Russia (Asian)"
16,Yugoslavia;Atlantic Ocean;Western Europe;Northeast Atlantic;Western Mediterranean;United States;Black Sea
2228,Western Mediterranean
10519,"Caspian Sea;Azov Sea;Yugoslavia;Georgia (USSR);Russia (European);Tadzhikistan;Western Europe;Ukraine, incl. Moldavia;Western Mediterranean;Lithuania;United States;Black Sea"
10894,Western Mediterranean
19427,Western Mediterranean;Tunisia;South Korea
20398,Western coast of British Isles;Azov Sea;Atlantic Ocean;Western Europe;Northeast Atlantic;South Korea;Western Mediterranean;United States;Black Sea
20452,Southeast Atlantic;Atlantic Ocean;Turkey;Pakistan;South China Sea;South Korea;Persian Gulf;Northeast Atlantic;Pacific Ocean;Western Mediterranean
20481,Middle East + Asia Minor;Yugoslavia;Georgia (USSR);Pakistan;Western Mediterranean;Lithuania;Western Europe
20661,Western Mediterranean
19390,Western Mediterranean;South Korea
20912,Western Mediterranean;Tunisia;South Korea
21057,Western Mediterranean;Western Europe
21064,Western Mediterranean;South Korea
21535,Middle East + Asia Minor;Western Mediterranean;Yukon + Northwest Territories;South Korea
19428,Western Mediterranean;Tunisia;Egypt;South Korea
21734,Western Mediterranean
21735,Western Mediterranean
21736,Western Mediterranean;South Korea
21905,Western Mediterranean
20963,"Zimbabwe;Yukon + Northwest Territories;Yugoslavia;Egypt;South China Sea;South Korea;Zaire;Tunisia;Ukraine, incl. Moldavia;Thailand;Western Mediterranean;Western Europe"
19397,Western Mediterranean;Tunisia
21071,Western Mediterranean;Tunisia
20704,Western Mediterranean;Yukon + Northwest Territories
20832,Western Mediterranean
20962,Yugoslavia;Western Mediterranean;Zaire;Yukon + Northwest Territories
19403,West Coast of Norway;New Brunswick + Nova Scotia;Azov Sea;Atlantic Ocean;Northeast Atlantic;South China Sea;Pacific Ocean;Sea of Okhotsk;Gulf of Mexico;Western Mediterranean;United States;Western Europe
21516,Western Mediterranean;Black Sea
21517,Yugoslavia;Western Mediterranean
21532,Yukon + Northwest Territories;Yugoslavia;Southwest Atlantic;Wyoming;Washington;Western Mediterranean;United States;Western Europe
14,Southeast Atlantic;NW African coast;Atlantic Ocean;Northeast Atlantic;Persian Gulf;Pacific Ocean;Italy;Gulf of Mexico;Southwest Indian Ocean;Southwest Atlantic;Southern Indian Ocean;Western Mediterranean;Western Europe
3922,Western coast of British Isles;Atlantic Ocean;Northeast Atlantic;Pacific Ocean;Southwest Indian Ocean;Thailand;Western Mediterranean;Oriental
9554,Western Mediterranean
9518,"Western coast of British Isles;Newfoundland;Virginia;South Korea;South America;Japan;Norwegian Sea;Washington;Georgia (USSR);Ukraine, incl. Moldavia;Western Mediterranean;Oriental;United States;Uruguay;Western Europe;West Coast of Norway;New Brunswick + Nova Scotia;North Sea;Atlantic Ocean;Black Sea;Ontario;Yugoslavia;Southeast Atlantic;Spain + Andalusia;Turkey;Northeast Atlantic;Southern S. America"
19378,Western coast of British Isles;Southeast Atlantic;Spain + Andalusia;Northeast Atlantic;South China Sea;Western Mediterranean;Tyrrhenian Sea;Black Sea
19382,Western Mediterranean;Western coast of British Isles;Spain + Andalusia;Egypt
19384,Western Mediterranean;Pacific Ocean;Japan;South China Sea
19402,Western Mediterranean
19438,Western Mediterranean;Northeast Atlantic;Western Europe
20783,"Yukon + Northwest Territories;Ontario;Yugoslavia;Spain + Andalusia;Northeast Atlantic;South Korea;Ukraine, incl. Moldavia;Western Mediterranean;Lithuania;Lake Baikal;Western Europe"
21278,"Middle East + Asia Minor;Yugoslavia;Ukraine, incl. Moldavia;Washington;Western Mediterranean;United States;Western Europe"
21703,"Yukon + Northwest Territories;Azov Sea;Ontario;Yugoslavia;Northeast Atlantic;United States;South Korea;Zaire;Ukraine, incl. Moldavia;Western Mediterranean;Philippines;Western Europe;Black Sea"
18,Lake Malawi
20,Uganda + Burundi + Rwanda;Lake Malawi;Nigeria;South America;Zaire;Ghana;Chad;Thailand;Philippines;Zambia;Sudan
39,Wisconsin;United States
19463,Virginia;Utah;Nicaragua;South America;Wyoming;Quebec;Washington;Mexico;Venezuela;Western Mediterranean;United States;Puerto Rico;Western Europe;Wisconsin;New Brunswick + Nova Scotia;Oceanic Islands;Canada;Ontario;Yugoslavia;Philippines;Lake Huron
1479,Yukon + Northwest Territories;Wisconsin;Ontario;Virginia;Atlantic Ocean;Utah;Northeast Atlantic;Pacific Ocean;Lake Huron;United States;Western Europe
383,"Lake Superior;Russia (European);Virginia;Utah;Poland;Finno-Karelian ASSR;Pacific Ocean;Ukraine, incl. Moldavia;United States;Western Europe;West Coast of Norway;Wisconsin;Yakut ASSR;Canada;Lithuania;Lake Baikal;Yukon + Northwest Territories;Ontario;Yugoslavia;Northeast Atlantic;Russia (Asian)"
512,Yukon + Northwest Territories;Wisconsin;New Brunswick + Nova Scotia;Mexico;Yugoslavia;West Virginia;Ontario;Virginia;Atlantic Ocean;Utah;Northeast Atlantic;Canada;United States;Western Europe
1341,Yukon + Northwest Territories;Wisconsin;Ontario;Virginia;Canada;United States;Western Europe
98,Yukon + Northwest Territories;Wisconsin;Ontario;Yugoslavia;West Virginia;Virginia;Atlantic Ocean;Utah;Pacific Ocean;Canada;Southwest Atlantic;Wyoming;Quebec;United States;Western Europe
3121,Wisconsin;Ontario;Virginia;Canada;Quebec;United States;Western Europe
5343,Wisconsin;Ontario;Virginia;United States;Western Europe
3005,Middle East + Asia Minor;Russia (European);Virginia;Utah;Czechoslovakia;Japan;Poland;Mongolia;Quebec;Finno-Karelian ASSR;Georgia (USSR);Western Mediterranean;United States;Western Europe;Wisconsin;Yakut ASSR;Canada;Lake Baikal;Yukon + Northwest Territories;Ontario;Yugoslavia;Northeast Atlantic;Italy;Russia (Asian)
6470,Taiwan;Wisconsin;South Korea;Sea of Japan;Pacific Ocean;Japan
3125,Yukon + Northwest Territories;Wisconsin;Mexico;Virginia;Nicaragua;Cuba
13619,Wisconsin;Ontario;Virginia;Utah;United States;Western Europe
9974,Wisconsin;Mexico;Virginia;Puerto Rico;United States;Western Europe
11306,Zimbabwe;Taiwan;Wisconsin;Sea of Japan;South Korea;Japan;Western Australia;Far East;Western Europe
9848,Wisconsin;Yugoslavia;New South Wales;Southern S. America;South America;Washington;United States;Puerto Rico
13618,Ontario;Wisconsin;United States;Western Europe
16553,Wisconsin;United States
13812,Yukon + Northwest Territories;Wisconsin;Ontario;Yugoslavia;West Virginia;Utah;Pacific Ocean;Russia (Asian);United States;Western Europe
19039,Wisconsin;United States
