parasite_index,connected_localities
1,Atlantic Ocean
3301,Pacific Ocean
10918,Atlantic Ocean
3,Atlantic Ocean
20686,Atlantic Ocean
503,Europe
72,Europe
454,Europe
2789,Atlantic Ocean
4128,Europe
2926,North America
3067,Atlantic Ocean
9538,Atlantic Ocean
9506,Asia
9509,Atlantic Ocean
10146,Atlantic Ocean
10672,Atlantic Ocean
9528,Atlantic Ocean
10791,Atlantic Ocean
9559,Europe
20397,Atlantic Ocean
20449,Atlantic Ocean
20485,Atlantic Ocean
20601,Europe
20032,Atlantic Ocean
19484,Europe
19388,Atlantic Ocean
19398,Atlantic Ocean
20929,Atlantic Ocean
20936,Atlantic Ocean
19407,Atlantic Ocean
21160,Atlantic Ocean
21211,Europe
21228,Atlantic Ocean
19422,Europe
19423,Atlantic Ocean
19431,Atlantic Ocean
3606,Atlantic Ocean
3634,Atlantic Ocean
2796,Atlantic Ocean
3831,Atlantic Ocean
4008,Atlantic Ocean
4232,Atlantic Ocean
9561,Atlantic Ocean
10508,Pacific Ocean
10555,Atlantic Ocean
21695,Pacific Ocean
9,Atlantic Ocean
11,Asia
58,Europe
16,Atlantic Ocean
2228,Atlantic Ocean
10519,Europe
10894,Atlantic Ocean
19427,Atlantic Ocean
20398,Atlantic Ocean
20452,Atlantic Ocean
20481,Europe
20661,Atlantic Ocean
19390,Atlantic Ocean
20912,Atlantic Ocean
21057,Atlantic Ocean
21064,Atlantic Ocean
21535,Asia
19428,Africa
21734,Atlantic Ocean
21735,Atlantic Ocean
21736,Atlantic Ocean
21905,Atlantic Ocean
20963,Africa
19397,Atlantic Ocean
21071,Atlantic Ocean
20704,Atlantic Ocean
20832,Atlantic Ocean
20962,Europe
19403,Atlantic Ocean
21516,Atlantic Ocean
21517,Europe
21532,North America
14,Atlantic Ocean
3922,Atlantic Ocean
9554,Atlantic Ocean
9518,Europe
19378,Atlantic Ocean
19382,Europe
19384,Pacific Ocean
19402,Atlantic Ocean
19438,Atlantic Ocean
20783,Europe
21278,Europe
21703,Atlantic Ocean
18,Water Africa
20,Africa
39,North America
19463,North America
1479,North America
383,Europe
512,North America
1341,North America
98,North America
3121,North America
5343,North America
3005,Europe
6470,Asia
3125,North America
13619,North America
9974,North America
11306,Asia
9848,North America
13618,North America
16553,North America
13812,North America
19039,North America
10486,North America
19690,North America
19536,North America
20571,North America
23360,North America
19454,North America
23369,North America
19759,North America
26097,Asia
26621,North America
23466,North America
23670,North America
27890,North America
27896,North America
25388,North America
27901,North America
19461,North America
23944,Asia
28180,North America
19455,North America
26689,North America
20329,North America
23347,North America
30462,North America
30480,North America
42,North America
45,North America
19521,North America
19449,North America
26624,North America
27599,North America
48,Africa
946,Asia
237,Asia
1682,Asia
429,North America
2813,Asia
2870,Europe
2872,Africa
2874,North America
2879,Europe
2880,North America
2884,Asia
3351,Asia
4320,Europe
4335,Africa
4469,Asia
2938,Africa
3585,Europe
2973,Europe
4492,Asia
4510,Africa
4722,Africa
4648,Africa
4768,Africa
5416,Asia
5435,Africa
5475,Africa
5492,Africa
5534,Africa
5536,Africa
5612,Africa
5620,Africa
3548,Asia
2909,Europe
5677,Africa
4455,Asia
5692,Africa
4475,Asia
5693,Africa
2991,Asia
5694,Africa
3000,North America
3318,Atlantic Ocean
5507,North America
3453,North America
2995,North America
